name,contact_0,contact_1
"Швейная фабрика «Марафетико» 
            							                                	",info@marafetiko.com,+7(499)397-79-89
"ООО ""Интерформа Кубань"" 
            							                                	",neshumova@ifcub.ru,+7-861-234-52-86
"Студия пошива и печати ""Portnoy"" 
            							                                	",info@spportnoy.ru,250-00-02
"KRISTROOM 
            							                                	",e.churilova2012@yandex.ru,89136689036
"ООО ФлексМет 
            							                                	",manager@flexmet.ru,89060401552
"Швейная Компания VELES 
            							                                	",veles.sch@yandex.ru,8(4942)467212
"ООО ""ПЕТРОВ АВТО"" 
            							                                	",st6@a-petrov.ru,+78126221907 доб 302
"""Olga classic Style"" 
            							                                	",olgaclassiclbl-2006@mail.ru,+996558222246
"Sarta 
            							                                	",siziki@yandex.ru,+79605098005
"Карабановская швейная фабрика ""Спартак"" 
            							                                	",info@fabrikaspartak.ru,+74924452483
"Garnet Russia 
            							                                	",garnetrussia@ya.ru,+79176795323
"Фабрика 6F 
            							                                	",haf@6fwear.com,88006001628
"Швейное производство ""Vistakovich"" 
            							                                	",ooopt.rf@gmail.com,89188828470
"Galantex 
            							                                	",market@galantex.com,+375 (162) 23-45-55
"ООО ""Модный дом Андрэ"" 
            							                                	",andre-zakaz@mail.ru,+7 342 242-92-14
"Sakura Store 
            							                                	",Deleontex@ya.ru,+7-915-344-3311
"ООО ""Острая Роза"" 
            							                                	",or21@inbox.ru,8(8352)35-10-25
"ООО ""Комплекс Отель"" 
            							                                	",elena.dubina@lexx-decor.ru,+7 347 22 34 999
"ООО Модный город 
            							                                	",alena.bank@mail.ru,89196890827
"ООО ""ВИСПО"" 
            							                                	",novikova@vispo.ru,8 916 421 96 52
"Швейное производство ""Братина"" 
            							                                	",info.bratina@mail.ru,8-908-300-59-29
"ООО ""Рэтайгер"" 
            							                                	",info@retiger.ru,+7 (499) 348-80-16
"""Швейная точка"" 
            							                                	",info@sewpoint.ru,89036192222
"ООО ""Соболь"" 
            							                                	",kolni07@gmail.com,8 963 543 14 94
"ООО «ПроектПошив» 
            							                                	",Info@proektposhiv.ru,+74992887017
"Швейная фабрика «Pride» 
            							                                	",salespride@mail.ru,+79614169096
"ООО ""ПОШИВС"" 
            							                                	",poshivm1@mail.ru,+7 (985) 812-68-95
"Ателье «Весна» 
            							                                	",ekara@list.ru,+79183247864
"ООО ""Зираэль"" 
            							                                	",dir.zrl@mail.ru,+79203550266
"Швейный цех 74 
            							                                	",galina.rg74@gmal.com,83513557555
"ООО «Мега-Сервис» 
            							                                	",office@spezo-ufa.com,8-917-75-17-125
"«Вера» 
            							                                	",w140taulu@mail.ru,89383480099
"ООО «Легенда» 
            							                                	",LisaWhC@yandex.ru,89601883688
"«Текстиль Опт» 
            							                                	",o.kozlov@tekstilopt.com,+79232448470
"DiFFerentPrint 
            							                                	",differentprint@yandex.ru,+79200192252
"СООО""Стройинвест-Екб"" 
            							                                	",Milanega.by@mail.ru,+375232271124
"ООО ""Матэн-Холл+"" 
            							                                	",maten-hall@mail.ru,+7 (812) 773-55-49
